Thread     Type        Activity             PID    TTL  
0x0        Timesync    0x0                  0      0    === system boot: XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXC0
0x0        Timesync    0x0                  0      0    === log class: in-memory begins
0x0        Default     0x0                  0      0    kernel: kprintf initialized
0x0        Default     0x0                  0      0    kernel: initialize_screen: b=9E3A14000, w=00000280, h=00000470, r=00000A00, d=00000000
0x0        Default     0x0                  0      0    kernel: pe_arm_init_interrupts: args: <private>
0x0        Default     0x0                  0      0    kernel: pe_arm_map_interrupt_controller: soc_phys:  0x200000000
0x0        Default     0x0                  0      0    kernel: pe_arm_map_interrupt_controller: found interrupt-controller
0x0        Default     0x0                  0      0    kernel: pe_arm_map_interrupt_controller: gPicBase: 0x<private>
0x0        Default     0x0                  0      0    kernel: pe_arm_map_interrupt_controller: found timer
0x0        Default     0x0                  0      0    kernel: pe_arm_map_interrupt_controller: gTimerBase: 0x<private>
0x0        Default     0x0                  0      0    kernel: Darwin Kernel Version 22.4.0: Mon Mar  6 21:00:41 PST 2023; root:xnu-8796.101.5~3/RELEASE_ARM64_T8103
0x0        Default     0x0                  0      0    kernel: pmap_startup() init/release time: 8011 microsec
0x0        Default     0x0                  0      0    kernel: pmap_startup() delayed init/release of 0 pages
0x0        Default     0x0                  0      0    kernel: vm_page_bootstrap: 480235 free pages, 10829 wired pages, (up to 0 of which are delayed free)
0x0        Default     0x0                  0      0    kernel: VM boostrap: 97 maps, 204 entries and 512 holes available
0x0        Default     0x0                  0      0    kernel: Maximum number of VM swap files: 100
0x0        Default     0x0                  0      0    kernel: "vm_compressor_mode" is 4
0x0        Default     0x0                  0      0    kernel: VM bootstrap done: 84 maps, 165 entries and 501 holes left
0x0        Default     0x0                  0      0    kernel: IOKit IOMD setownership ENABLED
0x0        Default     0x0                  0      0    kernel: ATM subsystem is initialized
0x0        Default     0x0                  0      0    kernel: Firehose configured: 16 chunks, 8 io pages
0x0        Default     0x0                  0      0    kernel: Long logs support configured: size: 16384
0x0        Default     0x0                  0      0    kernel: OSLog stream configured: stream: 8192 bytes, cache: 2112 bytes
0x0        Default     0x0                  0      0    kernel: Log queues configured: slot count: 64, per-slot size: 32768, total size: 2097152
0x0        Default     0x0                  0      0    kernel: Telemetry: Sampling all tasks once per 1 second
0x0        Default     0x0                  0      0    kernel: Scheduler: Default of edge
0x0        Default     0x0                  0      0    kernel: Setting scheduler priority decay band limit 18
0x0        Default     0x0                  0      0    kernel: standard timeslicing quantum is 10000 us
0x0        Default     0x0                  0      0    kernel: standard background quantum is 2500 us
0x0        Default     0x0                  0      0    kernel: mig_table_max_displ = 54 mach_kobj_count = 375
0x0        Default     0x0                  0      0    kernel: BANK subsystem is initialized
0x0        Default     0x0                  0      0    kernel: IPC_PTHREAD_PRIORITY subsystem is initialized
0x65       Default     0x0                  0      0    kernel: Registered coredump handler for kernel
0x65       Default     0x0                  0      0    kernel: Serial requested, consistent debug disabled or debug boot arg not present, configuring debugging over serial
0x65       Default     0x0                  0      0    kernel: Initializing serial KDP
0x65       Default     0x0                  0      0    kernel: iBoot version: iBoot-8422.100.650
0x65       Default     0x0                  0      0    kernel: (corecrypto) corecrypto_kext_start (tracing disabled)
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:152: [FIPSPOST][Module-ID] Apple corecrypto Module v13.0 [Apple silicon, Kernel, Software, SL1]
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:160: PASSED: (0 ms) - fipspost_post_hmac
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:164: PASSED: (0 ms) - fipspost_post_integrity
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:168: PASSED: (0 ms) - fipspost_post_indicator
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:169: PASSED: (0 ms) - fipspost_post_aes_ecb
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:170: PASSED: (0 ms) - fipspost_post_aes_cbc
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:171: PASSED: (3 ms) - fipspost_post_rsa_sig
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:172: PASSED: (6 ms) - fipspost_post_ecdsa
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:173: PASSED: (0 ms) - fipspost_post_ecdh
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:174: PASSED: (0 ms) - fipspost_post_aes_ccm
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:175: PASSED: (0 ms) - fipspost_post_aes_cmac
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:176: PASSED: (0 ms) - fipspost_post_hkdf
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:177: PASSED: (7 ms) - fipspost_post_pbkdf
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:178: PASSED: (0 ms) - fipspost_post_drbg_hmac
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:180: PASSED: (0 ms) - fipspost_post_kdf_ctr
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:181: PASSED: (0 ms) - fipspost_post_aes_gcm
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:182: PASSED: (0 ms) - fipspost_post_aes_xts
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:183: PASSED: (0 ms) - fipspost_post_tdes_ecb
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:184: PASSED: (0 ms) - fipspost_post_drbg_ctr
0x65       Default     0x0                  0      0    kernel: (corecrypto) FIPSPOST_KEXT [XXXXXXXXX] fipspost_post:206: all tests PASSED (18 ms)
0x65       Default     0x0                  0      0    kernel: (corecrypto) corecrypto_kext_start completed sucessfully
0x65       Default     0x0                  0      0    kernel: Matching service count = 0
0x65       Default     0x0                  0      0    kernel: Matching service count = 0
0x65       Default     0x0                  0      0    kernel: Matching service count = 0
0x65       Default     0x0                  0      0    kernel: Matching service count = 0
0x65       Default     0x0                  0      0    kernel: Matching service count = 0
0x65       Default     0x0                  0      0    kernel: Matching service count = 0
0x65       Default     0x0                  0      0    kernel: ulock_initialize>thread_max=10240, ull_hash_buckets=4096
0x65       Default     0x0                  0      0    kernel: (AppleImage4) Darwin Image4 Validator Version 5.0.0: Tue Mar 14 21:38:32 PDT 2023; root:AppleImage4-202.100.37~640/AppleImage4/RELEASE_ARM64E
0x65       Default     0x0                  0      0    kernel: calling mpo_policy_init for AppleImage4
0x65       Default     0x0                  0      0    kernel: Security policy loaded: AppleImage4 sysctl hook (AppleImage4)
0x65       Default     0x0                  0      0    kernel: (AppleImage4) AppleImage4:
0x65       Default     0x0                  0      0    kernel: (AppleImage4) failed to read nvram property: oblit-inprogress: 2
0x65       Default     0x0                  0      0    kernel: (AppleImage4) 
0x65       Default     0x0                  0      0    kernel: explicit BNCH-shadow-set not required for the PPL
0x65       Default     0x0                  0      0    kernel: (AppleMobileFileIntegrity) AMFI: UDID enforcement enabled
